Movie Title,Year,Length (min),Av. Rating (0-5)
How the Grinch Stole Christmas!,1966,87,1.174
How to Steal a Million,1966,78,2.9616
King of Hearts,1966,85,2.1734
Marat/Sade,1966,75,1.4702
Nevada Smith,1966,85,1.8449
Persona,1966,83,2.5384
Seconds,1966,75,1.4976
The Plague of the Zombies,1966,79,1.6404
This Property is Condemned,1966,97,0.6467
Torn Curtain,1966,68,2.5562
Who's Afraid of Virginia Woolf?,1966,86,2.4333
Winnie the Pooh and the Honey Tree,1966,70,0.8483
Barefoot in the Park,1967,87,2.9364
Bedazzled,1967,76,1.69
Bonnie and Clyde,1967,73,1.2974
Camelot,1967,82,2.604
Casino Royale,1967,91,3.1053
Cool Hand Luke,1967,96,3.0219
Doctor Dolittle,1967,84,0.9581
Guess Who's Coming to Dinner,1967,70,2.342
Hombre,1967,93,0.911
How to Succeed in Business Without Really Trying,1967,85,2.5734
In Cold Blood,1967,97,2.291
In Like Flint,1967,73,1.5057
In the Heat of the Night,1967,92,2.1712
Mouchette,1967,89,1.5536
Oscar,1967,76,1.4499
Point Blank,1967,76,2.3283
Quatermass and the Pit,1967,74,2.4582
The Deadly Bees,1967,70,1.0339
Thoroughly Modern Millie,1967,88,2.9943
Titicut Follies,1967,90,2.0858
To Sir with Love,1967,69,0.9558
Wait Until Dark,1967,78,0.7002
Who's That Knocking at My Door?,1967,79,0.6271
Yongary: Monster from the Deep,1967,80,3.2463
You Only Live Twice,1967,96,2.4921
2001: A Space Odyssey,1968,96,1.821
Adventures of Mowgli: The Kidnapping,1968,72,1.9172
Barbarella,1968,89,3.1334
Blackbeard's Ghost,1968,97,0.9094
Bullitt,1968,88,2.9036
Charly,1968,93,2.1491
Chitty Chitty Bang Bang,1968,77,1.4983
Funny Girl,1968,83,1.2732
Hang 'Em High,1968,76,1.7605
Hell in the Pacific,1968,79,2.0141
Junior and Karlson,1968,81,0.9111
Monterey Pop,1968,69,2.6848
Night of the Living Dead,1968,86,3.029
Noin 7 veljestä,1968,79,1.4242
Oliver!,1968,70,1.1371
Planet of the Apes,1968,80,0.856
Project X,1968,76,1.3298
Romeo and Juliet,1968,86,0.7276
Rosemary's Baby,1968,90,1.7532
Solyaris,1968,88,1.9925
Spirits of the Dead,1968,92,0.7694
Sympathy for the Devil,1968,85,3.5358
Where Eagles Dare,1968,93,0.7558
Why Man Creates,1968,71,1.5074
Winnie the Pooh and the Blustery Day,1968,85,0.8516
With Six You Get Eggroll,1968,88,2.4411
Yellow Submarine,1968,88,3.4941
Anne of the Thousand Days,1969,81,1.7252
Bob & Carol & Ted & Alice,1969,99,0.9315
Butch Cassidy and the Sundance Kid,1969,70,1.0644
Easy Rider,1969,98,2.5161
Fellini Satyricon,1969,94,2.2741
Frankenstein Must Be Destroyed,1969,70,2.3256
Frosty the Snowman,1969,87,3.4526
Gena the Crocodile,1969,87,2.7754
Mackenna's Gold,1969,94,2.5214
Midnight Cowboy,1969,91,1.1325
On Her Majesty's Secret Service,1969,74,0.9222
Paint Your Wagon,1969,91,1.2081
Return of the One-Armed Swordsman,1969,76,1.6532
Sweet Charity,1969,80,1.7183
Take the Money and Run,1969,81,1.7627
The Brain,1969,96,1.7886
The Bremen Town Musicians,1969,82,0.7368
Topaz,1969,93,0.893
True Grit,1969,96,0.8781
Winnie Pooh,1969,89,1.2098
Z,1969,70,2.5462
Airport,1970,89,1.7116
Beneath the Planet of the Apes,1970,91,1.9052
Beyond the Valley of the Dolls,1970,86,3.1472
Catch-22,1970,83,1.0803
Five Easy Pieces,1970,78,0.9155
Jane Eyre,1970,97,1.7353
Karlson Returns,1970,85,2.817
Kelly's Heroes,1970,80,2.235
Little Big Man,1970,74,3.3208
Love Story,1970,84,1.9633
Patton,1970,86,1.2935
Performance,1970,79,3.077
Scrooge,1970,82,3.4528
Start the Revolution Without Me,1970,90,2.7608
The Grandmother,1970,77,3.456
Tora! Tora! Tora!,1970,83,2.1541
Two Mules for Sister Sara,1970,84,1.6688
Zabriskie Point,1970,89,2.2239
12 Chairs,1971,78,2.7523
Bananas,1971,76,2.162
Bedknobs and Broomsticks,1971,82,2.5697
Billy Jack,1971,71,2.7149
Carnal Knowledge,1971,90,2.8125
Cheburashka,1971,82,2.7174
Dad's Army,1971,89,0.7396
Diamonds Are Forever,1971,81,3.6066
Dirty Harry,1971,82,0.8742
Duel,1971,97,2.274
Escape from the Planet of the Apes,1971,91,2.7704
Fiddler on the Roof,1971,100,2.0159
Get Carter,1971,85,0.8921
Harold and Maude,1971,76,2.4646
Klute,1971,88,2.6498
Little Murders,1971,77,3.5862
McCabe & Mrs. Miller,1971,98,1.7238
Minnie and Moskowitz,1971,98,1.5772
Monty Python's And Now for Something Completely Different,1971,91,3.5277
Old Men: Robbers,1971,81,2.7864
On Any Sunday,1971,89,0.909
Play Misty for Me,1971,73,1.8421
Shaft,1971,84,2.4479
Straw Dogs,1971,97,2.6693
Sympathy for the Underdog,1971,87,1.8086
They Call Me Trinity,1971,78,2.824
They Might Be Giants,1971,82,1.4385
THX 1138,1971,98,0.9276
Villain,1971,77,3.0428
Walkabout,1971,73,2.5108
Willy Wonka & the Chocolate Factory,1971,80,1.1293
Winnie the Pooh Goes Visiting,1971,94,2.5588
Avanti!,1972,82,2.417
Boxcar Bertha,1972,89,2.6192
Butterflies Are Free,1972,78,1.8157
Cabaret,1972,87,2.5825
Conquest of the Planet of the Apes,1972,84,0.8827
Deliverance,1972,83,1.3547
Dr. Phibes Rises Again,1972,95,2.0447
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,1972,78,0.7831
Fat City,1972,85,1.6812
Frenzy,1972,90,1.968
Fuzz,1972,85,2.9157
Jeremiah Johnson,1972,92,0.985
Night of the Lepus,1972,90,3.2963
Pink Flamingos,1972,95,1.0059
Silent Running,1972,98,2.6245
Slaughterhouse-Five,1972,80,2.4896
Sleuth,1972,99,3.4821
Trinity and Sartana Are Coming,1972,92,3.3069
Winnie the Pooh and the Day of Concern,1972,80,1.8574
Amarcord,1973,79,2.3259
American Graffiti,1973,88,3.3615
Badlands,1973,89,3.0374
Battle for the Planet of the Apes,1973,83,3.3289
Belladonna of Sadness,1973,74,2.5509
Charley Varrick,1973,96,1.653
Charlotte's Web,1973,74,2.155
Coffy,1973,79,3.6155
Death Smiles on a Murderer,1973,82,2.7045
Don't Look Now,1973,86,3.3136
Electra Glide in Blue,1973,89,2.9951
Enter the Dragon,1973,82,2.469
High Plains Drifter,1973,100,3.6128
Idaho Transfer,1973,72,2.3715
Jesus Christ Superstar,1973,89,2.9147
Live and Let Die,1973,82,2.2289
Magnum Force,1973,74,2.6398
Mean Streets,1973,99,0.8197
On the Trail of the Bremen Town Musicians,1973,72,1.1793
Paper Moon,1973,97,2.6176
Papillon,1973,96,1.4139
Pat Garrett and Billy the Kid,1973,77,3.2217
Robin Hood,1973,83,1.6708
Scorpio,1973,73,3.1933
Serpico,1973,100,2.1846
Sisters,1973,74,2.4689
Sleeper,1973,87,2.173
Soylent Green,1973,97,1.2331
The Golden Voyage of Sinbad,1973,84,0.8758
Themroc,1973,92,2.6272
Touki Bouki,1973,84,2.6405
Westworld,1973,96,3.4675
Airport 1975,1974,86,1.4593
Alice Doesn't Live Here Anymore,1974,72,1.83
Animals are Beautiful People,1974,98,1.5265
Benji,1974,84,1.4216
Black Christmas,1974,72,2.0149
Blazing Saddles,1974,96,0.7745
Bring Me the Head of Alfredo Garcia,1974,87,1.6545
California Split,1974,90,1.2726
Chinatown,1974,75,2.8943
Dark Star,1974,92,2.6963
Death Wish,1974,90,3.5172
Earthquake,1974,80,0.9412
Emmanuelle,1974,81,1.3089
Foxy Brown,1974,98,2.7882
Gone in 60 Seconds,1974,88,0.994
Herbie Rides Again,1974,92,3.3561
Lenny,1974,87,2.4384
Murder on the Orient Express,1974,87,2.0767
Phantom of the Paradise,1974,99,2.4144
That's Entertainment,1974,76,3.4563
Thunderbolt and Lightfoot,1974,79,1.2901
Unbelievable Adventures of Italians in Russia,1974,72,0.8574
Winnie the Pooh and Tigger Too,1974,86,2.6421
Young Frankenstein,1974,101,3.2718
Afonya,1975,87,1.1648
Barry Lyndon,1975,96,1.5348
Death Race 2000,1975,81,1.3093
Dersu Uzala,1975,93,0.8159
Dog Day Afternoon,1975,78,2.064
Escape to Witch Mountain,1975,77,3.2566
Female Trouble,1975,94,3.3212
French Connection II,1975,85,2.7474
Grey Gardens,1975,101,3.0126
Hedgehog in the Fog,1975,79,2.2295
It Can't Be!,1975,92,2.3874
Jaws,1975,86,3.3442
Karate Bullfighter,1975,101,2.1997
Love and Death,1975,74,3.6657
Mitchell,1975,83,2.6978
Monty Python and the Holy Grail,1975,83,3.1892
Nashville,1975,90,3.0051
One Flew Over the Cuckoo's Nest,1975,85,2.1612
Picnic at Hanging Rock,1975,92,3.3423
Rollerball,1975,80,2.1939
Royal Flash,1975,84,2.9694
Shampoo,1975,87,3.5959
Tommy,1975,88,0.9531
Trilogy of Terror,1975,81,2.0095
12 Chairs,1976,80,2.8816
All the President's Men,1976,74,1.3372
Assault on Precinct 13,1976,81,2.1793
Bugsy Malone,1976,101,2.4063
Burnt Offerings,1976,91,3.4049
Car Wash,1976,75,2.0672
Carrie,1976,83,3.2182
Family Plot,1976,101,2.343
Futureworld,1976,91,2.9842
Harlan County U.S.A.,1976,89,2.5462
Kenny & Company,1976,101,1.3027
King Kong,1976,86,3.5201
Logan's Run,1976,73,2.6894
Marathon Man,1976,78,2.1321
Midway,1976,77,1.8684
Murder by Death,1976,82,3.5357
Network,1976,76,1.6175
Obsession,1976,83,2.0743
Robin and Marian,1976,89,1.9094
Rocky,1976,97,2.1078
Silent Movie,1976,85,1.6267
Silver Streak,1976,87,3.487
Squirm,1976,100,2.341
Taxi Driver,1976,82,0.8189
The Big Bus,1976,85,1.3536
21 Up,1977,89,3.1854
A Cosmic Christmas,1977,79,1.2531
A Man Called Blade,1977,81,3.3517
Airport '77,1977,100,1.3659
Allegro non troppo,1977,100,3.5031
Annie Hall,1977,74,2.3607
Audrey Rose,1977,87,0.8953
Billy Jack Goes to Washington,1977,78,2.7452
Bobik Visiting Barbos,1977,82,1.5496
Candleshoe,1977,95,2.1398
Close Encounters of the Third Kind,1977,75,3.5532
Crime Busters,1977,84,2.8718
Desperate Living,1977,92,1.5007
Eaten Alive,1977,83,1.7047
Equus,1977,89,2.242
Eraserhead,1977,96,1.51
Exorcist II: The Heretic,1977,89,3.4844
For the Love of Benji,1977,75,3.2331
Freaky Friday,1977,80,3.2941
Herbie Goes to Monte Carlo,1977,78,2.1093
High Anxiety,1977,92,1.079
I Never Promised You a Rose Garden,1977,102,3.5765
Jabberwocky,1977,99,0.9726
Jubilee,1977,97,3.4037
Julia,1977,78,2.5604
Long Live Ghosts!,1977,76,3.5792
MacArthur,1977,101,1.8225
Martin,1977,102,1.8871
Mimino,1977,88,2.5592
Office Romance,1977,76,2.264
Orca: The Killer Whale,1977,103,1.984
Pete's Dragon,1977,101,2.6359
Pumping Iron,1977,86,3.5707
Rollercoaster,1977,80,2.2493
Roots,1977,87,2.7178
Saturday Night Fever,1977,77,1.7421
Sinbad and the Eye of the Tiger,1977,82,2.7137
Slap Shot,1977,80,2.4184
Smokey and the Bandit,1977,101,3.1944
Star Wars: Episode IV - A New Hope,1977,87,1.7022
Stroszek,1977,92,2.0616
Suspiria,1977,100,2.407
Wizards,1977,91,1.5825
Animal House,1978,75,3.4864
Attack of the Killer Tomatoes!,1978,92,3.7933
Avalanche,1978,79,0.9764
Big Wednesday,1978,79,0.9359
Cheech and Chong's Up in Smoke,1978,79,3.8101
Coma,1978,102,2.8666
Coming Home,1978,100,1.9313
Connections,1978,102,2.5531
Damien: Omen II,1978,87,1.3491
Dawn of the Dead,1978,102,2.1002
Days of Heaven,1978,81,3.2144
De platte jungle,1978,96,3.2129
Death on the Nile,1978,86,3.5131
Devil Dog: The Hound of Hell,1978,85,1.2929
Every Which Way But Loose,1978,98,1.2166
Eyes of Laura Mars,1978,104,3.0726
Faces of Death,1978,93,1.7276
Five Deadly Venoms,1978,79,1.6439
Force 10 from Navarone,1978,87,1.1443
Foul Play,1978,89,2.5573
Game of Death,1978,85,3.3015
Grease,1978,83,2.1449
Halloween,1978,78,2.5515
Heaven Can Wait,1978,79,1.5733
Hot Lead and Cold Feet,1978,78,1.128
Ice Castles,1978,77,1.6424
Interiors,1978,95,3.8051
Invasion of the Body Snatchers,1978,92,1.8981
Invincible Shaolin,1978,98,3.1117
Jaws 2,1978,77,3.1615
Midnight Express,1978,100,2.2057
Ordinary Miracle,1978,103,2.0394
Piranha,1978,89,2.5129
Return from Witch Mountain,1978,87,3.6037
Revenge of the Pink Panther,1978,98,3.2861
Superman,1978,93,2.1839
The Great Train Robbery,1978,100,1.3567
The Star Wars Holiday Special,1978,79,2.2255
Three from Prostokvashino,1978,90,2.1885
Watership Down,1978,85,3.6206
Who'll Stop the Rain,1978,94,1.237
...And Justice for All,1979,95,2.5031
Alien,1979,101,1.3152
All That Jazz,1979,104,0.9991
Americathon,1979,94,3.6451
Apocalypse Now,1979,85,1.5191
Autumn Marathon,1979,89,1.3099
Being There,1979,96,3.564
Beyond the Poseidon Adventure,1979,76,2.5444
Breaking Away,1979,96,3.5527
Buck Rogers in the 25th Century,1979,88,1.6003
Caligula,1979,75,3.2167
Captain America,1979,95,2.7979
Captain America II: Death Too Soon,1979,100,1.8516
Dracula,1979,101,3.8442
Escape from Alcatraz,1979,84,1.1393
Ffolkes,1979,82,2.385
Going in Style,1979,86,3.7023
Hair,1979,87,3.6067
Kramer vs. Kramer,1979,82,1.6541
Love at First Bite,1979,90,0.9491
Mad Max,1979,97,3.2658
Manhattan,1979,101,2.0937
Meatballs,1979,101,1.0731
Meteor,1979,103,3.1623
Monty Python's Life of Brian,1979,97,3.2934
Moonraker,1979,75,3.5896
More American Graffiti,1979,83,2.7088
Norma Rae,1979,96,2.6353
North Dallas Forty,1979,102,3.7779
Phantasm,1979,98,3.2793
Priklyucheniya Kapitana Vrungelya,1979,78,3.3748
Quadrophenia,1979,90,2.5261
Real Life,1979,77,2.7109
Rocky II,1979,92,2.2387
Scooby-Doo Goes Hollywood,1979,101,1.6675
Sherlock Holmes and Dr. Watson: Acquaintance,1979,75,3.7941
Stalker,1979,94,2.4458
Star Trek: The Motion Picture,1979,100,2.9245
That Munchhausen,1979,88,2.4013
The Adventures of Sherlock Holmes and Dr. Watson: Bloody Signature,1979,89,3.6863
The Magnificent Ruffians,1979,101,2.6304
Time After Time,1979,83,3.1457
When a Stranger Calls,1979,104,3.1457
Woyzeck,1979,102,1.6418
Airplane!,1980,102,0.8939
Alien Contamination,1980,93,1.8647
Alligator,1980,103,2.8114
Altered States,1980,90,2.2164
American Gigolo,1980,98,2.1224
Any Which Way You Can,1980,86,2.5474
Atlantic City,1980,93,2.9629
Battle Beyond the Stars,1980,98,3.1185
Breaker Morant,1980,100,1.5296
Bronco Billy,1980,100,2.5342
Brubaker,1980,101,2.75
Caddyshack,1980,79,3.4975
Cannibal Holocaust,1980,94,3.8393
Can't Stop the Music,1980,81,3.8872
Coal Miner's Daughter,1980,78,1.3095
Dressed to Kill,1980,90,3.0985
Fame,1980,88,1.387
Flash Gordon,1980,100,1.0609
Friday the 13th,1980,103,3.2087
Hangar 18,1980,87,3.8773
Herbie Goes Bananas,1980,76,3.2555
Hopscotch,1980,92,2.6356
Humanoids from the Deep,1980,94,2.4309
Inferno,1980,92,2.2094
Kagemusha,1980,99,2.7594
Little Darlings,1980,97,2.3072
Little Miss Marker,1980,84,2.3537
Melvin and Howard,1980,97,1.6919
Mon oncle d'Amérique,1980,95,1.6711
Motel Hell,1980,101,1.4311
My Bodyguard,1980,85,2.6162
Ordinary People,1980,88,3.3709
Popeye,1980,92,1.525
Private Benjamin,1980,88,1.735
Prom Night,1980,77,1.2555
Raging Bull,1980,98,1.3013
Raise the Titanic,1980,94,3.1301
Return of the Secaucus 7,1980,101,1.395
Rude Boy,1980,80,3.4763
Running Scared,1980,87,1.8862
Saturn 3,1980,102,1.4104
Saturn 3,1980,87,2.7557
Seems Like Old Times,1980,89,3.495
Shogun Assassin,1980,93,2.4267
Smokey and the Bandit II,1980,90,2.5883
Somewhere in Time,1980,95,2.8912
Star Wars: Episode V - The Empire Strikes Back,1980,94,1.7106
Stardust Memories,1980,87,3.2521
Stir Crazy,1980,95,3.618
Superman II,1980,90,2.9326
The Adventures of Sherlock Holmes and Doctor Watson: King of Blackmailers,1980,97,1.0823
The Adventures of Sherlock Holmes and Doctor Watson: The Hunt for the Tiger,1980,89,1.8793
The Idolmaker,1980,94,1.5677
The Pumaman,1980,92,1.3238
The Taming of the Scoundrel,1980,94,2.3625
Tom Horn,1980,104,3.2913
Urban Cowboy,1980,100,3.1254
Vacations in Prostokvashino,1980,99,1.7555
Where the Buffalo Roam,1980,86,2.0599
...All the Marbles,1981,82,3.5835
A Plasticine Crow,1981,86,3.4334
Absence of Malice,1981,83,3.9061
